pattern,pattern_type,expected_leakage,probe_order,noise_std,monitored_sets,accuracy,random_baseline,threshold,leakage_detected,defense_group,case_type,source_inspiration
table_lookup_no_defense,table_lookup,high,reverse,1.5,all,1.0,0.25,0.4,True,table_lookup,no_defense,Base leakage case: secret-dependent table lookup maps different secret values to attacker-monitored cache sets.
table_lookup_constant_time_scan,constant_time_scan,low,reverse,1.5,all,0.2767,0.25,0.4,False,table_lookup,program_level_defense,Constant-time access mitigation for table lookup: access all candidate locations regardless of the secret.
table_lookup_random_padding,random_padding,medium,reverse,1.5,all,0.5933,0.25,0.4,True,table_lookup,program_level_mitigation,"Random padding mitigation for table lookup: add random extra memory accesses, but keep the original secret-dependent access."
table_lookup_partitioned_cache,partitioned_cache,low,reverse,1.5,"0,1,2,3",0.2867,0.25,0.4,False,table_lookup,system_level_mitigation,"Cache partitioning-style mitigation for table lookup: attacker monitors sets 0-3, while secret-dependent victim accesses are mapped to sets 4-7."
multi_table_no_defense,multi_table_lookup,high,reverse,1.5,all,1.0,0.25,0.4,True,multi_table_lookup,no_defense,"Base leakage case: table-driven code touches multiple secret-dependent table entries, creating a wider cache footprint."
multi_table_constant_time_footprint,multi_table_constant_time,low,reverse,1.5,all,0.28,0.25,0.4,False,multi_table_lookup,program_level_defense,Constant-time mitigation for multi-table lookup: touch all candidate table footprints in a fixed order regardless of the real secret.
branch_no_defense,secret_dependent_branch,medium,reverse,1.5,all,0.4833,0.25,0.4,True,branch_footprint,no_defense,"Base leakage case: a secret-dependent branch touches one of two code/data regions, leaking the branch direction."
branch_balanced_footprint,balanced_branch,low,reverse,1.5,all,0.23,0.25,0.4,False,branch_footprint,program_level_defense,Balanced-footprint mitigation for secret-dependent branch: touch both branch regions in a fixed order regardless of which branch is logically selected.
loop_count_no_defense,loop_count,high,reverse,1.5,all,1.0,0.25,0.4,True,loop_count,no_defense,Base leakage case: the number of memory locations touched depends on secret + 1.
loop_count_fixed_count_padding,fixed_loop_count,low,reverse,1.5,all,0.2767,0.25,0.4,False,loop_count,program_level_defense,"Fixed-count mitigation for secret-dependent loop count: always touch a fixed number of locations, independent of the secret."
