pattern,pattern_type,expected_leakage,probe_order,noise_std,monitored_sets,accuracy,random_baseline,threshold,leakage_detected,defense_group,case_type,source_inspiration
table_lookup_no_defense,table_lookup,high,reverse,0.0,all,1.0,0.25,0.4,True,table_lookup,no_defense,Base leakage case: secret-dependent table lookup maps different secret values to attacker-monitored cache sets.
table_lookup_constant_time_scan,constant_time_scan,low,reverse,0.0,all,0.2567,0.25,0.4,False,table_lookup,program_level_defense,Constant-time access mitigation for table lookup: access all candidate locations regardless of the secret.
table_lookup_random_padding,random_padding,medium,reverse,0.0,all,0.6367,0.25,0.4,True,table_lookup,program_level_mitigation,"Random padding mitigation for table lookup: add random extra memory accesses, but keep the original secret-dependent access."
table_lookup_partitioned_cache,partitioned_cache,low,reverse,0.0,"0,1,2,3",0.2567,0.25,0.4,False,table_lookup,system_level_mitigation,"Cache partitioning-style mitigation for table lookup: attacker monitors sets 0-3, while secret-dependent victim accesses are mapped to sets 4-7."
table_lookup_no_defense,table_lookup,high,reverse,1.0,all,1.0,0.25,0.4,True,table_lookup,no_defense,Base leakage case: secret-dependent table lookup maps different secret values to attacker-monitored cache sets.
table_lookup_constant_time_scan,constant_time_scan,low,reverse,1.0,all,0.2767,0.25,0.4,False,table_lookup,program_level_defense,Constant-time access mitigation for table lookup: access all candidate locations regardless of the secret.
table_lookup_random_padding,random_padding,medium,reverse,1.0,all,0.5933,0.25,0.4,True,table_lookup,program_level_mitigation,"Random padding mitigation for table lookup: add random extra memory accesses, but keep the original secret-dependent access."
table_lookup_partitioned_cache,partitioned_cache,low,reverse,1.0,"0,1,2,3",0.2867,0.25,0.4,False,table_lookup,system_level_mitigation,"Cache partitioning-style mitigation for table lookup: attacker monitors sets 0-3, while secret-dependent victim accesses are mapped to sets 4-7."
table_lookup_no_defense,table_lookup,high,reverse,2.0,all,1.0,0.25,0.4,True,table_lookup,no_defense,Base leakage case: secret-dependent table lookup maps different secret values to attacker-monitored cache sets.
table_lookup_constant_time_scan,constant_time_scan,low,reverse,2.0,all,0.2767,0.25,0.4,False,table_lookup,program_level_defense,Constant-time access mitigation for table lookup: access all candidate locations regardless of the secret.
table_lookup_random_padding,random_padding,medium,reverse,2.0,all,0.5967,0.25,0.4,True,table_lookup,program_level_mitigation,"Random padding mitigation for table lookup: add random extra memory accesses, but keep the original secret-dependent access."
table_lookup_partitioned_cache,partitioned_cache,low,reverse,2.0,"0,1,2,3",0.2867,0.25,0.4,False,table_lookup,system_level_mitigation,"Cache partitioning-style mitigation for table lookup: attacker monitors sets 0-3, while secret-dependent victim accesses are mapped to sets 4-7."
table_lookup_no_defense,table_lookup,high,reverse,4.0,all,0.99,0.25,0.4,True,table_lookup,no_defense,Base leakage case: secret-dependent table lookup maps different secret values to attacker-monitored cache sets.
table_lookup_constant_time_scan,constant_time_scan,low,reverse,4.0,all,0.2867,0.25,0.4,False,table_lookup,program_level_defense,Constant-time access mitigation for table lookup: access all candidate locations regardless of the secret.
table_lookup_random_padding,random_padding,medium,reverse,4.0,all,0.5833,0.25,0.4,True,table_lookup,program_level_mitigation,"Random padding mitigation for table lookup: add random extra memory accesses, but keep the original secret-dependent access."
table_lookup_partitioned_cache,partitioned_cache,low,reverse,4.0,"0,1,2,3",0.2833,0.25,0.4,False,table_lookup,system_level_mitigation,"Cache partitioning-style mitigation for table lookup: attacker monitors sets 0-3, while secret-dependent victim accesses are mapped to sets 4-7."
table_lookup_no_defense,table_lookup,high,reverse,6.0,all,0.9233,0.25,0.4,True,table_lookup,no_defense,Base leakage case: secret-dependent table lookup maps different secret values to attacker-monitored cache sets.
table_lookup_constant_time_scan,constant_time_scan,low,reverse,6.0,all,0.2833,0.25,0.4,False,table_lookup,program_level_defense,Constant-time access mitigation for table lookup: access all candidate locations regardless of the secret.
table_lookup_random_padding,random_padding,medium,reverse,6.0,all,0.57,0.25,0.4,True,table_lookup,program_level_mitigation,"Random padding mitigation for table lookup: add random extra memory accesses, but keep the original secret-dependent access."
table_lookup_partitioned_cache,partitioned_cache,low,reverse,6.0,"0,1,2,3",0.28,0.25,0.4,False,table_lookup,system_level_mitigation,"Cache partitioning-style mitigation for table lookup: attacker monitors sets 0-3, while secret-dependent victim accesses are mapped to sets 4-7."
table_lookup_no_defense,table_lookup,high,reverse,8.0,all,0.8,0.25,0.4,True,table_lookup,no_defense,Base leakage case: secret-dependent table lookup maps different secret values to attacker-monitored cache sets.
table_lookup_constant_time_scan,constant_time_scan,low,reverse,8.0,all,0.2733,0.25,0.4,False,table_lookup,program_level_defense,Constant-time access mitigation for table lookup: access all candidate locations regardless of the secret.
table_lookup_random_padding,random_padding,medium,reverse,8.0,all,0.5367,0.25,0.4,True,table_lookup,program_level_mitigation,"Random padding mitigation for table lookup: add random extra memory accesses, but keep the original secret-dependent access."
table_lookup_partitioned_cache,partitioned_cache,low,reverse,8.0,"0,1,2,3",0.2667,0.25,0.4,False,table_lookup,system_level_mitigation,"Cache partitioning-style mitigation for table lookup: attacker monitors sets 0-3, while secret-dependent victim accesses are mapped to sets 4-7."
table_lookup_no_defense,table_lookup,high,reverse,10.0,all,0.72,0.25,0.4,True,table_lookup,no_defense,Base leakage case: secret-dependent table lookup maps different secret values to attacker-monitored cache sets.
table_lookup_constant_time_scan,constant_time_scan,low,reverse,10.0,all,0.2667,0.25,0.4,False,table_lookup,program_level_defense,Constant-time access mitigation for table lookup: access all candidate locations regardless of the secret.
table_lookup_random_padding,random_padding,medium,reverse,10.0,all,0.5133,0.25,0.4,True,table_lookup,program_level_mitigation,"Random padding mitigation for table lookup: add random extra memory accesses, but keep the original secret-dependent access."
table_lookup_partitioned_cache,partitioned_cache,low,reverse,10.0,"0,1,2,3",0.2633,0.25,0.4,False,table_lookup,system_level_mitigation,"Cache partitioning-style mitigation for table lookup: attacker monitors sets 0-3, while secret-dependent victim accesses are mapped to sets 4-7."
