candidate_id,classification,supported_pattern_type,review_decision,final_destination,final_scenario_names,notes
raw_table_lookup_001,vulnerable_victim_pattern,table_lookup,accepted,scenarios/llm_extracted_patterns.json,secret_dependent_table_lookup,Canonical secret-dependent table lookup leakage pattern.
raw_multi_table_002,vulnerable_victim_pattern,multi_table_lookup,accepted,scenarios/llm_extracted_patterns.json,multi_table_lookup_footprint,Accepted as multi-table secret-dependent cache footprint.
raw_branch_003,vulnerable_victim_pattern,secret_dependent_branch,accepted_with_scope_note,scenarios/llm_extracted_patterns.json,secret_dependent_branch_footprint,Models branch footprint only; not branch prediction or speculation.
raw_loop_count_004,vulnerable_victim_pattern,loop_count,accepted_with_scope_note,scenarios/llm_extracted_patterns.json,secret_dependent_loop_count,Models footprint-size leakage from variable loop count.
raw_set_aliasing_005,vulnerable_victim_pattern,set_aliasing_lookup,accepted,scenarios/llm_extracted_patterns.json,set_aliasing_table_lookup,Accepted to demonstrate partial set-level leakage.
raw_constant_scan_006,mitigation_candidate,constant_time_scan,accepted_as_general_constant_footprint_principle,scenarios/defense_scenarios.json,"table_lookup_constant_time_scan; multi_table_constant_time_footprint; branch_balanced_footprint; loop_count_fixed_count_padding",Adapted to several pattern-specific constant-footprint defenses.
raw_random_padding_007,mitigation_candidate,random_padding,accepted_as_weak_mitigation,scenarios/defense_scenarios.json,table_lookup_random_padding,Partial mitigation; does not eliminate the original secret-dependent access.
raw_partitioning_008,mitigation_candidate,partitioned_cache,accepted_as_system_level_mitigation,scenarios/defense_scenarios.json,table_lookup_partitioned_cache,Modeled through monitored_sets and victim_set_offset.
raw_prime_probe_method_009,attack_observation_method_only,,record_only,paper_sources_only,,Fixed observation model; not a victim-side scenario.
raw_flush_reload_method_010,attack_observation_method_only,,record_only_out_of_scope,paper_sources_only,,Different observation method; not supported by current simulator.
raw_spectre_gadget_011,unsupported_or_out_of_scope,,rejected_out_of_scope,reject,,Requires speculative/transient execution modeling outside current scope.
