pattern,pattern_type,expected_leakage,probe_order,noise_std,monitored_sets,accuracy,random_baseline,threshold,leakage_detected,defense_group,case_type,source_inspiration
secret_dependent_table_lookup,table_lookup,high,reverse,0.0,all,1.0,0.25,0.4,True,,,Table-driven cryptographic implementations such as AES T-tables use secret-dependent values to index memory tables; cache attacks can observe which cache sets were touched.
multi_table_lookup_footprint,multi_table_lookup,high,reverse,0.0,all,1.0,0.25,0.4,True,,,"AES-style table-driven code often performs multiple table-like memory accesses during one sensitive operation, creating a wider secret-dependent cache footprint than a single lookup."
secret_dependent_branch_footprint,secret_dependent_branch,medium,reverse,0.0,all,0.4933,0.25,0.4,True,,,Constant-time guidance and cache-side-channel analysis identify secret-dependent branches/control flow as a leakage source when different branch paths touch different cache lines.
secret_dependent_loop_count,loop_count,high,reverse,0.0,all,1.0,0.25,0.4,True,,,Variable-time secret-dependent control flow can change how many memory locations are touched; the cache footprint size can leak secret-dependent information.
set_aliasing_table_lookup,set_aliasing_lookup,medium,reverse,0.0,all,0.4933,0.125,0.275,True,,,"Prime+Probe observes cache-set disturbance rather than exact addresses. Different logical table entries can alias to the same observed set, producing partial rather than full leakage."
secret_dependent_table_lookup,table_lookup,high,reverse,1.0,all,1.0,0.25,0.4,True,,,Table-driven cryptographic implementations such as AES T-tables use secret-dependent values to index memory tables; cache attacks can observe which cache sets were touched.
multi_table_lookup_footprint,multi_table_lookup,high,reverse,1.0,all,1.0,0.25,0.4,True,,,"AES-style table-driven code often performs multiple table-like memory accesses during one sensitive operation, creating a wider secret-dependent cache footprint than a single lookup."
secret_dependent_branch_footprint,secret_dependent_branch,medium,reverse,1.0,all,0.4833,0.25,0.4,True,,,Constant-time guidance and cache-side-channel analysis identify secret-dependent branches/control flow as a leakage source when different branch paths touch different cache lines.
secret_dependent_loop_count,loop_count,high,reverse,1.0,all,1.0,0.25,0.4,True,,,Variable-time secret-dependent control flow can change how many memory locations are touched; the cache footprint size can leak secret-dependent information.
set_aliasing_table_lookup,set_aliasing_lookup,medium,reverse,1.0,all,0.5233,0.125,0.275,True,,,"Prime+Probe observes cache-set disturbance rather than exact addresses. Different logical table entries can alias to the same observed set, producing partial rather than full leakage."
secret_dependent_table_lookup,table_lookup,high,reverse,2.0,all,1.0,0.25,0.4,True,,,Table-driven cryptographic implementations such as AES T-tables use secret-dependent values to index memory tables; cache attacks can observe which cache sets were touched.
multi_table_lookup_footprint,multi_table_lookup,high,reverse,2.0,all,1.0,0.25,0.4,True,,,"AES-style table-driven code often performs multiple table-like memory accesses during one sensitive operation, creating a wider secret-dependent cache footprint than a single lookup."
secret_dependent_branch_footprint,secret_dependent_branch,medium,reverse,2.0,all,0.4833,0.25,0.4,True,,,Constant-time guidance and cache-side-channel analysis identify secret-dependent branches/control flow as a leakage source when different branch paths touch different cache lines.
secret_dependent_loop_count,loop_count,high,reverse,2.0,all,1.0,0.25,0.4,True,,,Variable-time secret-dependent control flow can change how many memory locations are touched; the cache footprint size can leak secret-dependent information.
set_aliasing_table_lookup,set_aliasing_lookup,medium,reverse,2.0,all,0.5233,0.125,0.275,True,,,"Prime+Probe observes cache-set disturbance rather than exact addresses. Different logical table entries can alias to the same observed set, producing partial rather than full leakage."
secret_dependent_table_lookup,table_lookup,high,reverse,4.0,all,0.99,0.25,0.4,True,,,Table-driven cryptographic implementations such as AES T-tables use secret-dependent values to index memory tables; cache attacks can observe which cache sets were touched.
multi_table_lookup_footprint,multi_table_lookup,high,reverse,4.0,all,0.9933,0.25,0.4,True,,,"AES-style table-driven code often performs multiple table-like memory accesses during one sensitive operation, creating a wider secret-dependent cache footprint than a single lookup."
secret_dependent_branch_footprint,secret_dependent_branch,medium,reverse,4.0,all,0.48,0.25,0.4,True,,,Constant-time guidance and cache-side-channel analysis identify secret-dependent branches/control flow as a leakage source when different branch paths touch different cache lines.
secret_dependent_loop_count,loop_count,high,reverse,4.0,all,0.9467,0.25,0.4,True,,,Variable-time secret-dependent control flow can change how many memory locations are touched; the cache footprint size can leak secret-dependent information.
set_aliasing_table_lookup,set_aliasing_lookup,medium,reverse,4.0,all,0.4967,0.125,0.275,True,,,"Prime+Probe observes cache-set disturbance rather than exact addresses. Different logical table entries can alias to the same observed set, producing partial rather than full leakage."
secret_dependent_table_lookup,table_lookup,high,reverse,6.0,all,0.9233,0.25,0.4,True,,,Table-driven cryptographic implementations such as AES T-tables use secret-dependent values to index memory tables; cache attacks can observe which cache sets were touched.
multi_table_lookup_footprint,multi_table_lookup,high,reverse,6.0,all,0.9367,0.25,0.4,True,,,"AES-style table-driven code often performs multiple table-like memory accesses during one sensitive operation, creating a wider secret-dependent cache footprint than a single lookup."
secret_dependent_branch_footprint,secret_dependent_branch,medium,reverse,6.0,all,0.4633,0.25,0.4,True,,,Constant-time guidance and cache-side-channel analysis identify secret-dependent branches/control flow as a leakage source when different branch paths touch different cache lines.
secret_dependent_loop_count,loop_count,high,reverse,6.0,all,0.8433,0.25,0.4,True,,,Variable-time secret-dependent control flow can change how many memory locations are touched; the cache footprint size can leak secret-dependent information.
set_aliasing_table_lookup,set_aliasing_lookup,medium,reverse,6.0,all,0.4467,0.125,0.275,True,,,"Prime+Probe observes cache-set disturbance rather than exact addresses. Different logical table entries can alias to the same observed set, producing partial rather than full leakage."
secret_dependent_table_lookup,table_lookup,high,reverse,8.0,all,0.8,0.25,0.4,True,,,Table-driven cryptographic implementations such as AES T-tables use secret-dependent values to index memory tables; cache attacks can observe which cache sets were touched.
multi_table_lookup_footprint,multi_table_lookup,high,reverse,8.0,all,0.88,0.25,0.4,True,,,"AES-style table-driven code often performs multiple table-like memory accesses during one sensitive operation, creating a wider secret-dependent cache footprint than a single lookup."
secret_dependent_branch_footprint,secret_dependent_branch,medium,reverse,8.0,all,0.44,0.25,0.4,True,,,Constant-time guidance and cache-side-channel analysis identify secret-dependent branches/control flow as a leakage source when different branch paths touch different cache lines.
secret_dependent_loop_count,loop_count,high,reverse,8.0,all,0.7467,0.25,0.4,True,,,Variable-time secret-dependent control flow can change how many memory locations are touched; the cache footprint size can leak secret-dependent information.
set_aliasing_table_lookup,set_aliasing_lookup,medium,reverse,8.0,all,0.37,0.125,0.275,True,,,"Prime+Probe observes cache-set disturbance rather than exact addresses. Different logical table entries can alias to the same observed set, producing partial rather than full leakage."
secret_dependent_table_lookup,table_lookup,high,reverse,10.0,all,0.72,0.25,0.4,True,,,Table-driven cryptographic implementations such as AES T-tables use secret-dependent values to index memory tables; cache attacks can observe which cache sets were touched.
multi_table_lookup_footprint,multi_table_lookup,high,reverse,10.0,all,0.7667,0.25,0.4,True,,,"AES-style table-driven code often performs multiple table-like memory accesses during one sensitive operation, creating a wider secret-dependent cache footprint than a single lookup."
secret_dependent_branch_footprint,secret_dependent_branch,medium,reverse,10.0,all,0.4133,0.25,0.4,True,,,Constant-time guidance and cache-side-channel analysis identify secret-dependent branches/control flow as a leakage source when different branch paths touch different cache lines.
secret_dependent_loop_count,loop_count,high,reverse,10.0,all,0.66,0.25,0.4,True,,,Variable-time secret-dependent control flow can change how many memory locations are touched; the cache footprint size can leak secret-dependent information.
set_aliasing_table_lookup,set_aliasing_lookup,medium,reverse,10.0,all,0.33,0.125,0.275,True,,,"Prime+Probe observes cache-set disturbance rather than exact addresses. Different logical table entries can alias to the same observed set, producing partial rather than full leakage."
